source,tokenizer,token,count
pantip,pantip_unigram,สวย,97
pantip,pantip_unigram,ไม่เคย,187
pantip,pantip_unigram,อาจจะ,118
pantip,pantip_unigram,นิด,149
pantip,pantip_unigram,ประมาณ,298
pantip,pantip_unigram,สงสัย,116
pantip,pantip_unigram,ไว้,415
pantip,pantip_unigram,กลับ,305
pantip,pantip_unigram,แดง,74
pantip,pantip_unigram,ตา,389
pantip,pantip_unigram,ัก,467
pantip,pantip_unigram,age,56
pantip,pantip_unigram,ั้น,312
pantip,pantip_unigram,ถ่าย,137
pantip,pantip_unigram,สุด,267
pantip,pantip_unigram,ที,557
pantip,pantip_unigram,หนึ่ง,234
pantip,pantip_unigram,อัน,253
pantip,pantip_unigram,เค,332
pantip,pantip_unigram,ื่อ,285
pantip,pantip_unigram,น้อย,166
pantip,pantip_unigram,กล้อง,64
pantip,pantip_unigram,เอา,494
pantip,pantip_unigram,ความ,1044
pantip,pantip_unigram,จริง,265
pantip,pantip_unigram,หวัง,67
pantip,pantip_unigram,โอกาส,121
pantip,pantip_unigram,ื,263
pantip,pantip_unigram,ต่าง,228
pantip,pantip_unigram,“,162
pantip,pantip_unigram,ส่วน,315
pantip,pantip_unigram,”,161
pantip,pantip_unigram,เก่า,153
pantip,pantip_unigram,มีความ,219
pantip,pantip_unigram,ไร,187
pantip,pantip_unigram,เหนื่อย,60
pantip,pantip_unigram,ร้อน,87
pantip,pantip_unigram,ชั่วโมง,59
pantip,pantip_unigram,แผ่น,47
pantip,pantip_unigram,เห,409
pantip,pantip_unigram,!,92
pantip,pantip_unigram,หาย,204
pantip,pantip_unigram,คะ,597
pantip,pantip_unigram,ไม่มี,410
pantip,pantip_unigram,กลิ่น,64
pantip,pantip_unigram,เฉพาะ,92
pantip,pantip_unigram,อา,421
pantip,pantip_unigram,ข้าง,176
pantip,pantip_unigram,กี่,184
pantip,pantip_unigram,แน่,171
pantip,pantip_unigram,a,1722
pantip,pantip_unigram,G,302
pantip,pantip_unigram,ir,91
pantip,pantip_unigram,D,289
pantip,pantip_unigram,จริงๆ,240
pantip,pantip_unigram,ตั้งแต่,155
pantip,pantip_unigram,วันที่,187
pantip,pantip_unigram,ก่อน,552
pantip,pantip_unigram,เป,267
pantip,pantip_unigram,ระหว่าง,98
pantip,pantip_unigram,V,156
pantip,pantip_unigram,ชุด,76
pantip,pantip_unigram,L,275
pantip,pantip_unigram,it,220
pantip,pantip_unigram,ed,152
pantip,pantip_unigram,ซึ่ง,89
pantip,pantip_unigram,หนัง,116
pantip,pantip_unigram,แถม,71
pantip,pantip_unigram,เพิ่ม,174
pantip,pantip_unigram,15,150
pantip,pantip_unigram,พี่,369
pantip,pantip_unigram,๋,157
pantip,pantip_unigram,ด้าน,146
pantip,pantip_unigram,U,145
pantip,pantip_unigram,เรื่อยๆ,56
pantip,pantip_unigram,▁S,383
pantip,pantip_unigram,ch,144
pantip,pantip_unigram,เพลง,204
pantip,pantip_unigram,E,413
pantip,pantip_unigram,ยังไม่,212
pantip,pantip_unigram,เนื้อ,112
pantip,pantip_unigram,ภาษา,103
pantip,pantip_unigram,ไทย,375
pantip,pantip_unigram,ro,177
pantip,pantip_unigram,to,164
pantip,pantip_unigram,ขณะ,60
pantip,pantip_unigram,แม้,77
pantip,pantip_unigram,ยอมรับ,55
pantip,pantip_unigram,นํา,240
pantip,pantip_unigram,นอน,225
pantip,pantip_unigram,หนัก,150
pantip,pantip_unigram,หมอ,176
pantip,pantip_unigram,ส่วนใหญ่,101
pantip,pantip_unigram,เต็ม,94
pantip,pantip_unigram,สนุก,49
pantip,pantip_unigram,นาน,249
pantip,pantip_unigram,เรีย,97
pantip,pantip_unigram,เครียด,56
pantip,pantip_unigram,มากๆ,251
pantip,pantip_unigram,ตัด,119
pantip,pantip_unigram,คลิป,44
pantip,pantip_unigram,พัก,181
pantip,pantip_unigram,ั่น,250
pantip,pantip_unigram,เล,357
pantip,pantip_unigram,กระ,427
pantip,pantip_unigram,ั่ง,131
pantip,pantip_unigram,ฌ,5
pantip,pantip_unigram,หรือเปล่า,53
pantip,pantip_unigram,ใช่,136
pantip,pantip_unigram,ทั่วไป,56
pantip,pantip_unigram,N,286
pantip,pantip_unigram,K,203
pantip,pantip_unigram,ลืม,57
pantip,pantip_unigram,คําถาม,84
pantip,pantip_unigram,อยากให้,155
pantip,pantip_unigram,วง,420
pantip,pantip_unigram,P,498
pantip,pantip_unigram,ํ,39
pantip,pantip_unigram,ิน,584
pantip,pantip_unigram,is,167
pantip,pantip_unigram,ic,181
pantip,pantip_unigram,พล,326
pantip,pantip_unigram,เมือง,189
pantip,pantip_unigram,วิธี,212
pantip,pantip_unigram,เดินทาง,88
pantip,pantip_unigram,‘,12
pantip,pantip_unigram,’,27
pantip,pantip_unigram,ชาติ,149
pantip,pantip_unigram,พาณิชย์,68
pantip,pantip_unigram,ปันผล,65
pantip,pantip_unigram,ทุน,160
pantip,pantip_unigram,▁http,309
pantip,pantip_unigram,://,341
pantip,pantip_unigram,ww,139
pantip,pantip_unigram,th,173
pantip,pantip_unigram,_,210
pantip,pantip_unigram,ในการ,199
pantip,pantip_unigram,กลับมา,155
pantip,pantip_unigram,ฟัน,104
pantip,pantip_unigram,จัด,181
pantip,pantip_unigram,เด็ก,126
pantip,pantip_unigram,ล่วงหน้า,101
pantip,pantip_unigram,ถาม,330
pantip,pantip_unigram,ระบบ,129
